Word,Translate
chair,стул
danger,Опасность
fruit,фрукты
rich,богатый
thick,толстый
soldier,солдат
process,процесс
operate,работать
practice,упражняться
separate,отдельный
difficult,трудный
doctor,врач
please,пожалуйста
protect,защищать
noon,полдень
crop,обрезать
modern,современный
element,элемент
hit,ударять
student,студент
corner,угол
party,вечеринка
supply,поставлять
whose,чей
locate,найти
ring,кольцо
character,характер
insect,насекомое
caught,пойманный
period,период
indicate,указывать
radio,радио
spoke,говорил
atom,атом
human,человек
history,история
effect,эффект
electric,электрический
expect,ожидать
bone,кость
rail,железнодорожный
imagine,представлять себе
provide,предоставлять
agree,соглашаться
thus,таким образом
gentle,нежный
woman,женщина
captain,капитан
guess,предполагать
necessary,необходимый
sharp,острый
wing,крыло
create,создавать
neighbour,сосед
wash,стирать
bat,летучая мышь
rather,скорее
crowd,толпа
corn,кукуруза
compare,сравнивать
poem,стих
string,нить
bell,колокол
depend,зависеть
meat,мясо
rub,натирать
tube,трубка
famous,известный
dollar,доллар
stream,транслировать
fear,страх
sight,взгляд
thin,тонкий
triangle,треугольник
planet,планета
hurry,торопиться
chief,главный
colony,колония
clock,Часы
mine,мой
tie,галстук
enter,входить
major,главный
fresh,свежий
search,поиск
send,отправлять
yellow,желтый
gun,пистолет
allow,позволять
print,Распечатать
dead,мертвый
spot,место
desert,пустыня
suit,подходить
current,текущий
lift,поднимать
rose,Роза
arrive,приезжать
master,владелец
track,отслеживать
parent,родительский
shore,берег
division,разделение
sheet,лист
substance,вещество
favour,услуга
connect,соединять
post,почта
spend,тратить
chord,аккорд
fat,толстый
glad,радостный
original,оригинал
share,делиться
station,станция
dad,папа
bread,хлеб
charge,заряжать
proper,правильный
bar,бар
offer,предложение
segment,сегмент
slave,раб
duck,утка
instant,мгновенный
market,рынок
degree,степень
populate,заполнять
education,образование
dear,дорогой
enemy,враг
reply,отвечать
drink,напиток
occur,происходить
support,поддерживать
speech,речь
nature,природа
range,диапазон
steam,пар
motion,движение
path,путь
liquid,жидкость
violence,насилие
meant,имел в виду
quotient,коэффициент
teeth,зубы
shell,оболочка
neck,шея
oxygen,кислород
sugar,сахар
death,смерть
pretty,симпатичный
skill,навык
women,женщины
season,время года
solution,решение
magnet,магнит
silver,серебро
thanks,Спасибо
lunch,обед
match,соответствовать
treat,обращаться
especially,особенно
fail,неудача
afraid,испуганный
huge,огромный
sister,сестра
steel,сталь
discuss,обсуждать
forward,вперед
similar,похожий
guide,гид
experience,опыт
score,счет
apple,яблоко
evidence,доказательство
message,сообщение
movie,фильм
coat,пальто
mass,масса
card,карта
band,группа
rope,веревка
slip,соскальзывать
win,победить
dream,мечтать
evening,вечер
condition,состояние
feed,кормить
tool,инструмент
total,общий
basic,базовый
smell,запах
valley,долина
not,нет
double,двойной
seat,сиденье
continue,продолжать
news,Новости
police,полиция
hat,шапка
sell,продавать
success,успех
company,компания
security,безопасность
event,событие
particular,особый
deal,иметь дело
swim,плавать
term,срок
opposite,противоположный
wife,жена
shoes,обувь
shoulders,плечи
spread,распространение
arrange,договариваться
camp,лагерь
invent,изобретать
cotton,хлопок
born,рожденный
determine,определять
quarter,четверть
nine,девять
remove,удалять
noise,шум
level,уровень
chance,шанс
gather,собирать
shop,магазин
stretch,потягиваться
throw,бросать
shine,светить
property,свойство
issue,проблема
legal,юридический
select,выбирать
wrong,неправильный
gray,серый
repeat,повторить
require,требовать
broad,широкий
prepare,подготовить
salt,соль
nose,нос
plural,множественное число
anger,злость
claim,требовать
price,цена
